canonical,n_meals,mean_pred
almonds,1,1.0
meatball,2,1.0
pepper,3,1.0
peanuts,2,1.0
pasta,2,1.0
oyster sauce,1,1.0
orange sponge cake with custard,1,1.0
orange juice,1,1.0
onions,1,1.0
onion,2,1.0
oil,1,1.0
oatmeal,3,1.0
mushroom,2,1.0
mini pizzas,1,1.0
mince pie,1,1.0
milk,14,1.0
mash potatoes,2,1.0
pizza hut ham and pineapple pizza,1,1.0
marshmallows,1,1.0
mango,1,1.0
maltesers,1,1.0
lindt milk chocolate,1,1.0
lettuce,1,1.0
leeks,1,1.0
lasagna,1,1.0
ketchup,2,1.0
jam,1,1.0
ice cream,2,1.0
hotdog,2,1.0
hot dog,1,1.0
honey,2,1.0
haribos,1,1.0
peppers,1,1.0
pizza hut hawaiian pizza,3,1.0
ham and cheese quesadilla,1,1.0
spring onion,1,1.0
turkey,2,1.0
tuc crackers,2,1.0
tortilla,2,1.0
tony's chocoloney milk chocolate bar 100g,1,1.0
tomato sauce,2,1.0
toast,2,1.0
tea with milk,1,1.0
tea biscuits,1,1.0
sweet potato,2,1.0
sweet and salty popcorn,1,1.0
sultanas,1,1.0
straberry ice cream with apple and berry compote,1,1.0
star nuggets,1,1.0
squash,1,1.0
spinach,1,1.0
popcorn,2,1.0
soy,3,1.0
sour cream,1,1.0
sausage,2,1.0
salt and vinegar rice cake,1,1.0
ritz crackers,1,1.0
risotto,1,1.0
rice,4,1.0
rasins,3,1.0
quesadilla,1,1.0
puff pastry,2,1.0
prawn tempora,1,1.0
potatoes,2,1.0
potato,2,1.0
pork,2,1.0
ham sandwich,1,1.0
ham,6,1.0
apple,1,1.0
broccoli,1,1.0
chicken fried rice chicken,1,1.0
chicken burger,1,1.0
chicken,4,1.0
chia seeds,1,1.0
cheese,7,1.0
cheerios,7,1.0
cheddar cheese,1,1.0
celery,2,1.0
carrott,2,1.0
carrots,3,1.0
carrot,3,1.0
butter noodles,1,1.0
butter,2,1.0
brussel sprouts,2,1.0
brioche bun,1,1.0
chicken schnitzel,1,1.0
breadsticks,1,1.0
bread,1,1.0
braised turkey,1,1.0
borsin cheese,1,1.0
belvita,6,1.0
bell peppers,1,1.0
bell pepper,1,1.0
beer,2,1.0
beef,3,1.0
battered fish filet,1,1.0
baked beans,1,1.0
avacado,1,1.0
apple slice bars,1,1.0
apple slice bar,1,1.0
chicken kiev,1,1.0
chicken stock,1,1.0
green beans,2,1.0
dominos pizza,2,1.0
grapes,1,1.0
granola,1,1.0
go ahead fruit bake apple,1,1.0
ginger,2,1.0
garlic,4,1.0
fruit shoot,1,1.0
fritata,1,1.0
fries,1,1.0
flour,2,1.0
flax seeds,1,1.0
fangtastics,1,1.0
ementaller,1,1.0
eggs,1,1.0
dried mango,4,1.0
dairy milk chocolate,1,1.0
chili con carne,1,1.0
cucumber,2,1.0
croissant,1,1.0
cream,1,1.0
cranberry sauce,2,1.0
courgette,1,1.0
cottage pie mince chicken potato,2,1.0
corn,2,1.0
coconut chicken curry,1,1.0
cinnamon coco tray bake,1,1.0
cinnamon,3,1.0
chocolate cake,1,1.0
chips,1,1.0
chinese stirfry,1,1.0
chinese noodle,1,1.0
yogurt,1,1.0
