canonical,n_meals,mean_pred
ham,6,0.9949385922005923
belvita,6,0.9936690864079973
cheese,7,0.9913246925929037
pizza hut hawaiian pizza,3,0.9886469749791466
mash potatoes,2,0.9822796690722605
tomato sauce,2,0.9779502302151246
ketchup,2,0.9779502302151246
soy,3,0.977045804469899
peanuts,2,0.9766353761753721
mango,1,0.9764669800498191
turkey,2,0.9753724037275822
cheerios,7,0.9737371716702523
carrot,3,0.9719003169621958
carrots,3,0.9719003169621958
mushroom,2,0.9715949753586318
broccoli,1,0.971162308280714
dairy milk chocolate,1,0.9702609250975103
brussel sprouts,2,0.9695308478800501
squash,1,0.9691187767648151
cranberry sauce,2,0.9676054654727003
green beans,2,0.9660951589540083
yogurt,1,0.9628123301309921
ice cream,2,0.9601430315602999
grapes,1,0.959988449790179
chips,1,0.9554312728943686
potato,2,0.9554312728943686
fries,1,0.9554312728943686
meatball,2,0.9552587620922492
mini pizzas,1,0.9503796995922598
dominos pizza,2,0.9500776927121257
almonds,1,0.950042468493186
carrott,2,0.9487061597592827
chinese noodle,1,0.9432700022035141
fruit shoot,1,0.940072091975855
flax seeds,1,0.9387009583789939
courgette,1,0.9386069186138332
beer,2,0.9353386997771129
puff pastry,2,0.9335430833970337
orange juice,1,0.9303817048297197
ginger,2,0.9295570196338285
hotdog,2,0.9227433201536692
lindt milk chocolate,1,0.919889832987843
tea with milk,1,0.9185063488953032
avacado,1,0.917786322785628
apple,1,0.9175557383804156
chia seeds,1,0.9156588605324526
risotto,1,0.9131870263707849
chinese stirfry,1,0.9120734173811057
chili con carne,1,0.9050460778777664
baked beans,1,0.8998723065791867
granola,1,0.8993353955479161
mince pie,1,0.8937673574410996
bell peppers,1,0.8891459442043378
bell pepper,1,0.8891459442043378
butter noodles,1,0.8855964672221484
chicken schnitzel,1,0.8816344734096222
jam,1,0.880775941722424
chicken burger,1,0.8771103296690541
straberry ice cream with apple and berry compote,1,0.8761542314456697
eggs,1,0.8754374721965571
butter,2,0.8751071850018735
ham and cheese quesadilla,1,0.8707587582112978
leeks,1,0.8655433736593255
cottage pie mince chicken potato,2,0.8624035210572465
brioche bun,1,0.8600106759198903
tuc crackers,2,0.8595573619854441
pizza hut ham and pineapple pizza,1,0.8554249740013626
bread,1,0.8487685533103889
cucumber,2,0.8482946454578864
prawn tempora,1,0.8424058405920158
ham sandwich,1,0.8355005485770971
battered fish filet,1,0.8347444580927007
oyster sauce,1,0.8329044279334951
croissant,1,0.8214157947964895
onions,1,0.8212112853788663
onion,2,0.8212112853788663
sour cream,1,0.8212112853788663
quesadilla,1,0.8206492426132559
orange sponge cake with custard,1,0.8206425172916502
chicken kiev,1,0.8127435947316894
garlic,4,0.81180414732575
maltesers,1,0.8105718143344764
braised turkey,1,0.8078349271721327
sultanas,1,0.8069870767340552
star nuggets,1,0.8032098376674064
lasagna,1,0.7473896882529075
pork,2,0.7373348516529359
marshmallows,1,0.7269881132774537
oil,1,0.7174629200313432
hot dog,1,0.7167579390828803
honey,2,0.7120926533328642
apple slice bars,1,0.707066978406024
tony's chocoloney milk chocolate bar 100g,1,0.707066978406024
ementaller,1,0.707066978406024
apple slice bar,1,0.707066978406024
fangtastics,1,0.707066978406024
toast,2,0.7018437695996206
celery,2,0.6906244898047846
cream,1,0.6732131901618645
chicken fried rice chicken,1,0.6710346215202945
ritz crackers,1,0.6671218275331605
sweet and salty popcorn,1,0.6667141679455436
fritata,1,0.6225387437550752
pepper,3,0.5807747527232512
sweet potato,2,0.5807747527232512
peppers,1,0.5807747527232512
go ahead fruit bake apple,1,0.5770873411890355
dried mango,4,0.5534480129519036
milk,14,0.5353378608315467
spring onion,1,0.5342802571138834
sausage,2,0.5197596104590037
flour,2,0.5069639696322452
potatoes,2,0.5069639696322452
chocolate cake,1,0.5069639696322452
chicken,4,0.49853125048869684
chicken stock,1,0.49853125048869684
salt and vinegar rice cake,1,0.4790796618590165
cinnamon coco tray bake,1,0.4769773582411692
lettuce,1,0.47532325697235894
beef,3,0.46112299073889446
borsin cheese,1,0.4180116828515004
pasta,2,0.40976178731300134
haribos,1,0.3953438783402542
tortilla,2,0.39212627299671987
corn,2,0.3687692296434254
breadsticks,1,0.35613532545889626
cheddar cheese,1,0.3278348309347183
coconut chicken curry,1,0.3209779408610413
tea biscuits,1,0.3050963113892384
spinach,1,0.24601404187504447
cinnamon,3,0.2001954335676059
popcorn,2,0.18409852055530612
oatmeal,3,0.18035286392190128
rice,4,0.17772638502557309
rasins,3,0.16451088789657595
