canonical,n_meals,mean_pred
cheese,7,0.9958720035626982
pizza hut hawaiian pizza,3,0.9897733483417251
carrots,3,0.98695700394022
carrot,3,0.98695700394022
ketchup,2,0.9824888828914451
tomato sauce,2,0.9804888828914451
squash,1,0.9801078704256937
grapes,1,0.9707524644886969
dairy milk chocolate,1,0.9676545832187939
potato,2,0.9622851854563018
fries,1,0.9622851854563018
chips,1,0.9622851854563018
yogurt,1,0.9601441027822974
broccoli,1,0.9571029203755601
mango,1,0.9532400232222131
cranberry sauce,2,0.9530412474498925
mash potatoes,2,0.9503853130879972
beer,2,0.9475796798426044
green beans,2,0.9360182989176894
ice cream,2,0.9346501781787218
mini pizzas,1,0.9293772771296231
soy,3,0.9278175919043427
brussel sprouts,2,0.9239617945626148
puff pastry,2,0.923817049630404
orange juice,1,0.9234399562107076
chinese noodle,1,0.9215638998146695
courgette,1,0.9127992499728504
carrott,2,0.9093188350576532
fruit shoot,1,0.9077183147489847
hotdog,2,0.904617848694212
chili con carne,1,0.8986700375977641
cucumber,2,0.8937737876008923
bell peppers,1,0.891032184645217
bell pepper,1,0.891032184645217
chinese stirfry,1,0.8814309588059878
butter,2,0.8810129572856229
turkey,2,0.8749649191397042
lindt milk chocolate,1,0.8730998093501324
baked beans,1,0.8665078572826646
jam,1,0.8596379519090641
tuc crackers,2,0.8551454077875026
ginger,2,0.8483401785572543
oyster sauce,1,0.8467398377567982
butter noodles,1,0.8438910332294597
almonds,1,0.8399064537409074
ham sandwich,1,0.837872925974394
prawn tempora,1,0.8287217643927095
chia seeds,1,0.8280724896494231
risotto,1,0.8260880016507182
flax seeds,1,0.8255927181182589
eggs,1,0.8252731487867945
quesadilla,1,0.8223641049075883
chicken kiev,1,0.8168954572357457
chicken burger,1,0.8159917021528589
leeks,1,0.8105160067601545
onion,2,0.8097505653451073
onions,1,0.8097505653451073
sour cream,1,0.8097505653451073
brioche bun,1,0.8081596319449971
bread,1,0.8017046029633896
avacado,1,0.8008108223777592
maltesers,1,0.7957413944193279
granola,1,0.7913787354788763
fangtastics,1,0.7857244886299107
ementaller,1,0.7857244886299107
tony's chocoloney milk chocolate bar 100g,1,0.7857244886299107
apple slice bars,1,0.7857244886299107
apple slice bar,1,0.7857244886299107
cottage pie mince chicken potato,2,0.7828553354766482
orange sponge cake with custard,1,0.7813393549467696
straberry ice cream with apple and berry compote,1,0.7748066471510943
braised turkey,1,0.7700959459566764
chicken schnitzel,1,0.7688849755553705
garlic,4,0.7634127065708202
pork,2,0.7611113460501351
mince pie,1,0.7485801495892063
battered fish filet,1,0.7481395838773732
celery,2,0.7454059567186453
hot dog,1,0.7362222353683602
croissant,1,0.7241213698194915
star nuggets,1,0.7215564054570929
chicken fried rice chicken,1,0.715609331563196
sultanas,1,0.7107257855115429
lasagna,1,0.7032595833993804
cheerios,7,0.700559756033418
ham,6,0.6953968110065052
pizza hut ham and pineapple pizza,1,0.6904692222042645
belvita,6,0.6835582122461509
ritz crackers,1,0.6620601966184645
oil,1,0.6459980389031305
pepper,3,0.6421583685985474
sweet potato,2,0.6421583685985474
peppers,1,0.6421583685985474
fritata,1,0.6374635174019323
toast,2,0.579227744603024
cream,1,0.575138561590588
sausage,2,0.5672379242032575
chicken stock,1,0.5603015597372539
chicken,4,0.5603015597372539
potatoes,2,0.5294519761901799
chocolate cake,1,0.5294519761901799
flour,2,0.5294519761901799
beef,3,0.5209004477109432
go ahead fruit bake apple,1,0.5123681144264196
peanuts,2,0.5099257803217769
cinnamon coco tray bake,1,0.48196530383208086
milk,14,0.4775813075245994
honey,2,0.47148083521665596
spring onion,1,0.4709089129472419
lettuce,1,0.45498520103471235
mushroom,2,0.45167234503633996
meatball,2,0.4399047293303088
corn,2,0.43854593404032866
tortilla,2,0.4341572674913537
pasta,2,0.4247039418659938
dominos pizza,2,0.41020462522307394
tea with milk,1,0.40015886065228085
salt and vinegar rice cake,1,0.3897008707096826
coconut chicken curry,1,0.3824279426235233
apple,1,0.33819577674872375
dried mango,4,0.3348673327690025
breadsticks,1,0.32684178763419713
cheddar cheese,1,0.32074337778672923
tea biscuits,1,0.28428275610797643
borsin cheese,1,0.28297049731268004
haribos,1,0.2802081617747593
spinach,1,0.2743883238482844
ham and cheese quesadilla,1,0.271505566799208
marshmallows,1,0.2605776924239666
cinnamon,3,0.24123775649264959
rice,4,0.21045875242920273
oatmeal,3,0.19773346963269733
sweet and salty popcorn,1,0.1886523651651195
rasins,3,0.17328427744496902
popcorn,2,0.14308991363657708
